Identificador;Fecha reporte;Localidad;Barrio;Upz;Dirección;Tipo de afectación
5408056;9/12/2022;8 Kennedy;RENANIA;N/A;CL 42B SUR 72H 88;Conato de incendio
5408057;9/12/2022;16 Puente Aranda;SALAZAR GOMEZ;N/A;KR 56 9 36;Animales Peligrosos
5408058;9/12/2022;8 Kennedy;EL AMPARO;N/A;KR 84 42A SUR 38;Conato de incendio
5408059;9/12/2022;11 Suba;CASABLANCA SUBA;N/A;AC 145 76 86;Caida de árbol
5408060;9/12/2022;15 Antonio Nariño;SANTANDER NORTE;N/A;CL 19 SUR 27 87;Animales Peligrosos
5408061;9/12/2022;5 Usme;EL PORVENIR II SECTOR;N/A;KR 7A 65F SUR 65;Animales Peligrosos
5408062;9/12/2022;1 Usaquen;EL VERBENAL I;N/A;KR 17B 187 0;Animales Peligrosos
5408063;9/12/2022;19 Ciudad Bolivar;JUAN PABLO II;N/A;KR 18Q 68B SUR 7;Daño en redes de servicio públicos gas
5408064;9/12/2022;9 Fontibon;MODELIA;N/A;CL 25B 72 80;Daño en redes de servicio públicos gas
5408065;9/12/2022;6 Tunjuelito;NUEVO MUZU II SECTOR 1 A ETAPA;N/A;TV 60 52B SUR 49;Quemas - Basuras
5408066;9/12/2022;12 Barrios Unidos;LA PAZ;N/A;AK 30 67 0;Derrame de aceite o gasolina en vía pública
5408067;9/12/2022;18 Rafael Uribe Uribe;BOSQUE DE SAN CARLOS;N/A;CL 32 BIS SUR 12H 33;Daño en redes de servicio públicos gas
5408068;9/12/2022;1 Usaquen;SANTA BARBARA OCCIDENTAL;N/A;AK 45 123 0;Caida de árbol - Caída de ramas
5408069;9/12/2022;10 Engativa;VILLA AMALIA;N/A;KR 111A 75C 14;Daño en redes de servicio públicos energía
5408070;9/12/2022;5 Usme;ALFONSO LOPEZ;N/A;KR 7A ESTE 97F SUR 50;Animales Peligrosos
5408071;9/12/2022;4 San Cristobal;LA COLMENA;N/A;KR 3 ESTE 37A SUR 72;Daño en redes de servicio públicos acueducto
5408072;9/12/2022;5 Usme;EL JARDIN_;N/A;KR 14 BIS 138A SUR 11;Daño en redes de servicio públicos energía
