"Identificador","Fecha reporte","Localidad","Barrio","Upz","Dirección","Tipo de afectación","Factor Humano"
"5390856","2/1/2022","11 Suba","ORQUIDEAS","27 - SUBA","KR 99 158 30","Incendio Estructuras","Si"
"5390855","2/1/2022","10 Engativa","LOS CEREZOS","29 - MINUTO DE DIOS","CL 80 86 0","Quemas - Basuras","Si"
"5390854","2/1/2022","4 San CristÃ³bal","SAN VICENTE ALTO","32 - SAN BLAS","KR 9 ESTE 36G SUR 43","Daño en redes de servicio públicos alcantarillado","Si"
"5390853","2/1/2022","7 Bosa","NICOLAS ESCOBAR","N/A","AC 59 SUR 77G","Incendio Vehicular - Conato Vehicular","Si"
"5390852","2/1/2022","1 Usaquen","USAQUEN","N/A","CL 172 KR 8","Incendio Vehicular - Conato Vehicular","Si"
"5390851","2/1/2022","9 FontibÃ³n","H.B.","76 - FONTIBON SAN PABLO","CL 22D 120 19","Quemas - Basuras","Si"
"5390850","2/1/2022","11 Suba","SAN JOSE DEL PRADO","24 - NIZA","KR 58 137-18","Hallazgo de materiales peligrosos","Si"
"5390849","2/1/2022","5 Usme","VEREDA LA REQUILINA","N/A","CL 137 SUR 2 ESTE 2","Quemas - Basuras","Si"
"5390848","2/1/2022","7 Bosa","OSORIO DIEZ","86 - EL PORVENIR","KR 97C 49C SUR 15","Daño en redes de servicio públicos energía","Si"
"5390847","2/1/2022","11 Suba","CASA BLANCA","3 - GUAYMARAL","CL 236 72 50","Abejas - Existencia de Panales o Colmenas de Abejas","No"
"5390846","2/1/2022","10 Engativa","FLORIDA BLANCA","30 - BOYACA REAL","CL 69A 94 8","Daño en redes de servicio públicos energía","Si"
"5390845","2/1/2022","19 Ciudad BolÃ­var","ARBORIZADORA ALTA","70 - JERUSALEM","CL 73B SUR 38A 61","Daño en redes de servicio públicos alcantarillado","Si"
"5390844","2/1/2022","16 Puente Aranda","LA ASUNCION","40 - CIUDAD MONTES","CL 2B 32 0","Daño en redes de servicio públicos alcantarillado","Si"
"5390843","2/1/2022","4 San CristÃ³bal","SANTA RITA SUR ORIENTAL","51 - LOS LIBERTADORES","KR 5 ESTE 51D SUR 40","Conato de Incendio Forestal","Si"
"5390842","2/1/2022","5 Usme","LAS MERCEDES","58 - COMUNEROS","CALLE 91B SUR 4C 43","Animales Peligrosos","No"
"5390841","2/1/2022","4 San CristÃ³bal","LA GLORIA","50 - LA GLORIA","KR 1A 43A SUR 4","Daño en redes de servicio públicos energía","Si"
"5390840","2/1/2022","7 Bosa","ESCOCIA","84 - BOSA OCCIDENTAL","CL 59C SUR 87K 26","Daño en redes de servicio públicos energía","Si"
"5390839","2/1/2022","5 Usme","SAN GERMAN II","52 - LA FLORA","CALLE 75A SUR 13B ESTE 83","Animales Peligrosos","No"
"5390838","2/1/2022","10 Engativa","FLORIDA BLANCA","30 - BOYACA REAL","CL 68A 93 30","Colapso de estructura","No"
"5390837","2/1/2022","9 FontibÃ³n","LA ESPERANZA","114 - MODELIA","CL 22A 72B 48","Quema Forestal","Si"
"5390836","2/1/2022","11 Suba","GILMAR","18 - BRITALIA","CALLE 162 59 0","Caida de árbol","No"
"5390835","2/1/2022","10 Engativa","MINUTO DE DIOS","29 - MINUTO DE DIOS","KR 73 81 33","Caida de árbol","No"
"5390834","2/1/2022","13 Teusaquillo","GRAN AMERICA","107 - QUINTA PAREDES","KR 30A 25B 22","Hallazgo de materiales peligrosos","Si"
"5390833","2/1/2022","2 Chapinero","SUCRE","99 - CHAPINERO","CL 41 7 0(80)","Caida de árbol - Pérdida de verticalidad de árbol","No"
"5390832","2/1/2022","7 Bosa","LAS MARGARITAS","84 - BOSA OCCIDENTAL","CL 69 BIS A SUR # 89 A - 08","Daño en redes de servicio públicos energía","Si"
"5390831","2/1/2022","4 San CristÃ³bal","LA GLORIA","50 - LA GLORIA","KR 1A 43A SUR 4","Daño en redes de servicio públicos energía","Si"
"5390830","2/1/2022","16 Puente Aranda","SAN FRANCISCO","43 - SAN RAFAEL","TRANSVERSAL 47 5F 66","Animales Peligrosos","No"
"5390829","2/1/2022","4 San CristÃ³bal","A.S.D.","50 - LA GLORIA","KR 14A ESTE 41A SUR 0","Animales Peligrosos","No"
"5390828","2/1/2022","7 Bosa","ISLANDIA","84 - BOSA OCCIDENTAL","CL 65 SUR 86","Conato de Incendio Forestal","Si"
"5390827","2/1/2022","19 Ciudad Bolivar","MEISSEN","N/A","CALLE 61 SUR 17 00","Quemas - Basuras","Si"
