Identificador;Fecha reporte;Localidad;Barrio;Upz;Dirección;Tipo de afectación;Factor Humano
5396177;4/5/2022;7 Bosa;JOSE MARIA CARBONELL;85 - BOSA CENTRAL;DG 71C BIS A SUR 77H 6;Caida de árbol;No
5396176;4/5/2022;8 Kennedy;SANTA CATALINA;46 - CASTILLA;CL 11D 81A 14;Conato de incendio;Si
5396175;4/5/2022;10 Engativa;BONANZA;26 - LAS FERIAS;CL 72A 71D 36;Daño en redes de servicio públicos acueducto;Si
5396174;4/5/2022;1 UsaquÃ©n;LOS CEDRITOS;13 - LOS CEDROS;CL 146 16;Accidente de tránsito;Si
5396173;4/5/2022;8 Kennedy;DESARROLLO NUEVA YORK II;45 - CARVAJAL;KR 72 39B SUR 00;Daño en redes de servicio públicos alcantarillado;Si
5396172;4/5/2022;8 Kennedy;SALVADOR ALLENDE;45 - CARVAJAL;CL 37B SUR 68D 93;Intoxicación;Si
5396171;4/5/2022;7 Bosa;JARDIN DEL APOGEO;49 - APOGEO;KR 73B BIS 56 SUR 03;Quemas - Basuras;Si
5396170;4/5/2022;14 Los MÃ¡rtires;VOTO NACIONAL;102 - LA SABANA;CL 11 17;Desechos en via pública;Si
5396169;4/5/2022;5 Usme;VILLA DIANA;52 - LA FLORA;KR 12D ESTE 89A SUR 52;Escape de gas - Daño en redes domiciliarias de servicio públicos gas;Si
5396168;4/5/2022;8 Kennedy;CARVAJAL;45 - CARVAJAL;AK 72 37 SUR 1;Caida de árbol;No
5396167;4/5/2022;13 Teusaquillo;ALFONSO LOPEZ;100 - GALERIAS;KR 24 50 47;Rescate en Espacios Confinados - En Ascensores;Si
5396166;4/5/2022;9 FontibÃ³n;EL PORVENIR;77 - ZONA FRANCA;DG 16 119 35;Caida de árbol - Pérdida de verticalidad de árbol;No
5396165;4/5/2022;10 Engativa;PARIS GAITAN;N/A;AC 80 82A 60;Colapso de estructura;No
5396164;4/5/2022;3 Santa Fe;LA ALAMEDA;93 - LAS NIEVES;KR 12 23 14;Conato de incendio;Si
5396163;4/5/2022;14 Los MÃ¡rtires;LA FAVORITA;102 - LA SABANA;CL 18 16 45;Conato de incendio;Si
5396162;4/5/2022;3 Santa Fe;ESTACION CARABINEROS;N/A;AV CIRCUNVALAR 36 00;Caida de árbol;No
5396161;4/5/2022;10 Engativa;URBANIZACION EL CORTIJO;72 - BOLIVIA;calle 80 No 121 - 98;Caida de árbol - Pérdida de verticalidad de árbol;No
5396160;4/5/2022;3 Santa Fe;LA MERCED;91 - SAGRADO CORAZON;CALLE 36 6 25;Caida de árbol - Pérdida de verticalidad de árbol;No
5396159;4/5/2022;11 Suba;NIZA SUBA;24 - NIZA;CL 131 77 4;Caida de árbol - Pérdida de verticalidad de árbol;No
5396158;4/5/2022;4 San Cristobal;LA NUEVA GLORIA;51 - LOS LIBERTADORES;CL 47 SUR 8A ESTE 17;Caida de árbol;No
5396157;4/5/2022;11 Suba;CASA BLANCA;2 - LA ACADEMIA;KR 52 222 50;Caida de árbol;No
5396156;4/5/2022;5 Usme;SANTA LIBRADA NORTE;57 - GRAN YOMASA;Calle 75 b sur # 6 - 93;Caida de árbol - Pérdida de verticalidad de árbol;No
5396155;4/5/2022;19 Ciudad BolÃ­var;LUCERO DEL SUR;67 - LUCERO;KR 17M 69B SUR 4;Animales Peligrosos;No
5396154;4/5/2022;1 UsaquÃ©n;SANTA BIBIANA;16 - SANTA BARBARA;CL 102 19A 60;Caida de árbol;No
5396153;4/5/2022;19 Ciudad BolÃ­var;LA PREDERA;70 - JERUSALEM;KR 48 72C SUR 42;Daño en redes de servicio públicos energía;Si
5396152;4/5/2022;9 FontibÃ³n;CAPELLANIA;114 - MODELIA;CL 22 C 91 29;Incendio Estructuras;
5396151;4/5/2022;1 Usaquen;LOS CEDRITOS;N/A;AC 147 15 95;Daño en redes de servicio públicos energía;Si
5396150;4/5/2022;13 Teusaquillo;LA MAGDALENA;101 - TEUSAQUILLO;KR 17 38 16;Caida de árbol;No
5396149;4/5/2022;10 Engativa;BOSQUE POPULAR;26 - LAS FERIAS;CL 64C 68G 7;Conato de incendio;Si
5396148;4/5/2022;9 FontibÃ³n;EL PORVENIR;77 - ZONA FRANCA;DG 16 119 35;Caida de árbol;No
5396147;4/5/2022;1 UsaquÃ©n;SANTA CECILIA NORTE PARTE ALTA;11 - SAN CRISTOBAL NORTE;KR 1A 163 12;Daño en redes de servicio públicos gas;Si
5396146;4/5/2022;2 Chapinero;EL REFUGIO;88 - EL REFUGIO;Trasversal 4B No 89 -15;Caida de árbol;No
5396145;4/5/2022;8 Kennedy;URBANIZACION CLASS;81 - GRAN BRITALIA;KR 81 A 57 G 34 SUR;Riesgo de colapso estructural;
5396144;4/5/2022;11 Suba;SANTA HELENA I;19 - EL PRADO;KR 54C 143A 1;Caida de árbol;No
